instance_id,depth_p10,depth_p50,depth_p90,depth_entropy,depth_skew,queue_entropy
1548,10,84,164,7.485870851699427,0.0840053404022485,0.5015810126305279
1549,10,80,163,7.451524153185241,0.15790190926952263,0.48702128315977306
1550,11,75,165,7.458225635661484,0.2596735612315667,0.4619114721120979
1551,2,12,18,4.333997854275138,-0.2870668259396022,0.9924760039430819
1552,11,78,165,7.463130326197478,0.196553274066819,0.4748384883008606
1553,9,30,67,6.2342395177638545,0.4114037784024692,0.5262453267342247
1554,12,76,172,7.5137429892691925,0.30092172713178716,0.43949698692151334
1555,9,65,134,7.191853661162737,0.17483391033619788,0.5496189140638493
1556,10,78,161,7.444647464724799,0.17150621025301538,0.48859291979141084
1557,10,86,168,7.52338253852984,0.08865725778043065,0.49177002137861525
1558,11,78,162,7.456647930957881,0.19566816358597272,0.4808446942193283
1559,11,83,171,7.519079297044098,0.16488153812375106,0.47044137903986444
1560,6,42,91,6.633571415908345,0.24711242090061344,0.6775807218599569
1561,10,50,131,7.09080788524877,0.44426571256978453,0.49499305426852247
1562,8,77,168,7.416995708084377,0.21416801889156567,0.4605229209452514
1563,11,78,162,7.456647930957881,0.19464090449500104,0.4808446942193283
1564,10,89,169,7.536122107980836,0.04337698296914294,0.0
1565,6,41,88,6.571160951885878,0.2434245631435708,0.6939659673342857
1566,12,54,165,7.255074245678825,0.5513461785181005,0.3991299374356637
1567,18,36,135,6.924576810890365,0.9629552941235732,0.2599504264933105
1568,12,54,149,7.204612592833205,0.48716361115562207,0.4458362519710249
1569,11,68,160,7.298140853501197,0.33968843124676285,0.45505980319060263
1570,5,16,23,4.661747892091756,-0.06568297913323232,0.7682814090975241
1571,11,67,167,7.359357358931668,0.3829621262972632,0.4297586093037605
1572,14,26,49,5.723795034577097,0.7574347602189827,0.3495593907184778
1573,11,67,155,7.407751249706464,0.44346016106651664,0.31903049288193636
1574,9,78,152,7.380030109164961,0.08485910429416121,0.5262453267342247
1575,10,73,157,7.365808519711248,0.22306939907666656,0.4854607607459134
1576,10,83,166,7.49125810754337,0.13050165491122223,0.48702128315977306
1577,18,59,152,7.375514815425739,0.6596811212953192,0.3101180466968089
1578,10,81,160,7.449462986969065,0.10417210752620465,0.504948062194051
1579,10,89,175,7.566706570479444,0.09443147651958628,0.5950975680244208
1580,11,82,171,7.542163614097853,0.18345744276462683,0.4661332827241354
1581,9,54,130,7.130330476729226,0.3589269819870743,0.5171354891896202
1582,12,32,76,6.39679552416938,0.6058163333780789,0.4227623437791517
1583,16,85,160,7.564054566914562,0.17392982905360022,0.32338745045115913
1584,11,79,168,7.490303359518974,0.22507509706205664,0.46330931881705467
1585,10,58,137,7.057993872863665,0.33707373574633803,0.504948062194051
1586,14,61,142,7.286601299019759,0.497533401298224,0.39613150840299727
1587,5,37,77,6.390220048196838,0.16021068362461488,0.7682814090975241
1588,10,76,154,7.391945698364996,0.14600018953275962,0.5083652932820523
1589,10,48,139,7.179324592783424,0.5024050581685862,0.4605229209452514
1590,11,82,172,7.534870580096314,0.1955868078525671,0.4619114721120979
1591,12,49,144,7.165225532472569,0.5806111762543,0.4321481607261779
1592,12,24,126,6.534343026241235,1.2549469701347216,0.31361606117261964
1593,10,88,170,7.540869459222053,0.07935325164498097,0.4901757916273401
1594,10,88,172,7.552340755761363,0.09430789309781495,0.483911233259378
1595,16,49,117,7.024514027238098,0.4885233697903182,0.34511731494495296
1596,14,34,160,6.97488432046202,0.7570994927214552,0.3653310217023925
1597,5,17,35,5.171547270581707,0.5738722632600657,0.7076690004167968
1598,11,64,160,7.269146220500344,0.38995002469498835,0.44200860222772487
1599,2,12,17,4.192886724018064,-0.3694140453109223,0.9970590569034107
1600,16,69,155,7.478561925728746,0.43375183046421656,0.3198503335395739
1601,17,80,156,7.434059691857362,0.267097098480521,0.23364346341703282
1602,17,86,167,7.550202884286848,0.1490377286233514,0.1931964131710076
1603,21,90,161,7.545446680026732,0.06708379841136514,0.2491705938085223
1604,9,75,170,7.393275223728555,0.26596781934622343,0.45956240468240794
1605,18,82,170,7.483457535095748,0.19142171259918594,0.1736211385225359
1606,11,69,161,7.334174773262607,0.323926605556639,0.5787946246321198
1607,7,32,84,6.3843985475496385,0.4592631700839371,0.7158259310602147
1608,5,17,36,5.294457270196502,0.22018344709249527,0.772398436030307
1609,7,26,85,6.32318534646234,0.587104853364688,0.660517322889647
1610,14,60,156,7.35640866375701,0.5694928174741042,0.24197369826678414
1611,2,10,20,4.359286801442599,0.5162275927765758,0.8112781244591328
1612,14,84,172,7.571291156864211,0.19765648473955277,0.9992695868811569
1613,10,34,84,6.3960395732209,0.43162145734795754,0.43094971429676265
1614,14,83,172,7.491709761523514,0.1923850936221686,0.2849568620968394
1615,17,109,170,7.525129707355247,-0.2256547951115474,0.2782255740162827
1616,8,82,174,7.438652492907121,0.19077232654985643,0.0
1617,1,5,9,3.3005590923909547,-0.028392984977301305,0.0
1618,16,80,155,7.411697416121234,0.19229069963253298,0.1623261801753929
1619,12,82,174,7.513695206416678,0.21414663786228394,0.4523816230590106
1620,13,45,157,7.227359781214778,0.9203483762130407,0.3252954276369121
1621,11,94,177,7.606530435760195,0.03394170680264308,0.0
1622,15,76,152,7.439809845632551,0.23626806247904764,1.0756915650105718
1623,10,88,168,7.526071856724554,0.05078998895720399,0.5015810126305279
1624,11,66,158,7.394676014578009,0.43076860298193165,0.3045866885214023
1625,13,61,176,7.273788826617067,0.3332742056779562,0.29181825659888583
1626,9,54,167,7.3503261249988485,0.5349265643899339,0.39318260537499006
1627,19,57,142,7.263328284547341,0.752041153905895,0.1597488372815222
1628,13,74,161,7.495493974471306,0.40086430677267476,0.0
1629,9,64,168,7.383060468856562,0.4231619265818498,0.5159469300074474
1630,12,62,165,7.396561027742591,0.44795011502430127,0.42162074354097756
1631,13,82,166,7.52212489546703,0.19099061679718865,0.43007980955771863
1632,1,6,11,3.668295834054489,0.0,0.4138168503036338
1633,12,54,160,7.3717908957530724,0.6604945683704471,0.5118837756204526
1634,19,61,143,7.312434938760125,0.7337398192527544,0.10067646831494714
1635,19,69,152,7.43826829503584,0.5301741929961613,0.18384478726787673
1636,16,79,164,7.521688709502272,0.3074318721992567,0.14576630643866736
1637,9,21,63,5.958237642893776,0.8756004803639809,0.5299888383579557
1638,14,55,166,7.431524516346309,0.5994759549440206,0.3846207253542624
1639,21,67,160,7.442809048292306,0.5979916024525737,0.21084230031853216
1640,14,51,145,7.25795781638697,0.8867932581888663,0.28027014274508316
1641,19,104,166,7.524863525061184,-0.1483378998060304,0.14075317608149654
1642,15,81,156,7.45258074281421,0.2187172467474986,0.16971924756440598
1643,11,86,173,7.5604430577190245,0.12462044722377041,0.4748384883008606
1644,14,65,153,7.448705304205469,0.47565302079119975,0.2974722489192897
1645,1,6,10,3.517559429596343,-0.23222455643117473,0.3912435636292556
1646,12,68,153,7.399731658180815,0.4025917967433128,0.42283869423472714
1647,12,79,175,7.532414333187986,0.2701960753872039,0.44200860222772487
1648,18,81,160,7.505830873561047,0.25524357721586177,0.6379145649213657
1649,5,40,82,6.4889012566026345,0.1464093813237206,0.7444131797881749
1650,12,75,171,7.438364580508093,0.300778446391605,0.43949698692151334
1651,10,67,182,7.278514769111172,0.399168436225605,0.9346867245085648
1652,10,89,173,7.548746053370107,0.08306206948990602,0.483911233259378
1653,11,96,166,7.49711856905281,-0.08806396034467423,0.4661332827241354
1654,11,83,176,7.5112232665179866,0.20620196826069248,0.44973808720127306
1655,16,70,159,7.455103486856632,0.3950003473595283,0.19590927087360493
1656,11,35,129,6.958968606288729,1.1384150355374927,0.2580186686648155
1657,11,47,117,6.999549315287303,0.6376923474616228,0.26434620757220484
1658,12,64,161,7.385333225671985,0.5725482611589919,0.5488419264464802
1659,12,110,175,7.464562360228943,-0.19200758444163246,0.35725217683174104
1660,13,67,153,7.447197377247424,0.5221136994141379,0.9733151655509318
1661,15,111,176,7.520375388673736,-0.2946035767662054,0.3580422038531606
1662,10,91,172,7.5645822047165945,0.048664772535993994,0.4933757335098129
1663,17,71,163,7.502246116860673,0.3467324869566877,0.20466873406730415
1664,11,62,155,7.34234376497703,0.4870111793803221,0.23426071757119224
1665,10,35,136,6.906662650250907,0.762306039698718,0.4021791902022729
1666,20,69,158,7.392573120223195,0.45344753960039996,0.11283625738381757
1667,18,89,177,7.56873742135722,0.200191384333827,0.21486991568671548
1668,6,47,96,6.7061730240791055,0.17557793590108825,0.6743988870714471
1669,12,40,101,6.833859408944788,1.14064611917585,1.0227528969902953
1670,12,60,150,7.304920130238479,0.5689780033359778,0.37209270631522773
1671,19,88,164,7.487728765435037,0.1518987015735792,0.11148326046627968
1672,15,57,139,7.275129221815748,0.8519422200631233,0.23900757647088725
1673,9,63,168,7.365840852377269,0.43287662639752367,0.41491204768986406
1674,14,72,159,7.468424411162914,0.3300663440525674,0.2903172789985301
1675,9,53,165,7.23569881701042,0.5348648468105246,0.6173586614327382
1676,15,67,159,7.395909382630199,0.4980663117180612,0.14863019910272604
1677,12,112,173,7.4419421515730155,-0.19721569905469538,0.3747006154617423
1678,10,62,166,7.384425778554277,0.4433471769666455,0.5258263132779326
1679,16,55,163,7.34774826707881,0.7266223772674545,0.20559250818508307
1680,16,75,163,7.4690707332080635,0.3490315344925109,0.2531413829504112
1681,8,16,51,5.599135933409185,1.2869756069936298,0.4718970538750853
1682,13,64,153,7.4215076368294435,0.5958828795957668,0.43734134375971
1683,12,94,175,7.593993969422478,0.028563526325577238,0.0
1684,15,58,158,7.353804730764716,0.5126828329694524,0.26073212131992685
