instance_id,n,family,capacity_mode,capacity,seed,capacity_density,cells_allocated,total_evaluations,include_count,exclude_count,tie_count,include_ratio,nonzero_value_states,zero_value_states,fill_rate,optimal_value,mean_cell_value,cell_value_variance,sum_improvement_amount,mean_improvement_amount,updates_per_cell
1447,100,AlmostEqualRatios,scaled,25394,42,253.9400,25395,2488712,1397664,1058273,32775,0.561601,25388,7,0.999724,26746,13562.7957,59615449.9201,344427196,246.4306,55.036976
1448,100,AlmostEqualRatios,scaled,25097,42,250.9700,25098,2459606,1468583,954411,36612,0.597081,25096,2,0.999920,26502,13431.2824,58605889.5762,337098326,229.5399,58.513945
1449,100,AlmostEqualRatios,scaled,24025,42,240.2500,24026,2354549,1400459,925202,28888,0.594789,24024,2,0.999917,24999,12715.1903,52121693.7722,305495161,218.1393,58.289312
1450,100,AlmostEqualRatios,scaled,25863,42,258.6300,25864,2534674,1433346,1069811,31517,0.565495,25860,4,0.999845,26988,13704.9647,60491076.7897,354465207,247.2991,55.418574
1451,100,AlmostEqualRatios,scaled,26108,42,261.0800,26109,2558683,1366781,1154889,37013,0.534174,26073,36,0.998621,27626,13978.5639,63633035.4139,364966325,267.0262,52.349037
1452,100,AlmostEqualRatios,scaled,24238,42,242.3800,24239,2375424,1440399,903062,31963,0.606376,24226,13,0.999464,25419,12885.8380,53838754.6978,312339828,216.8426,59.424853
1453,100,AlmostEqualRatios,scaled,22176,42,221.7600,22177,2173348,1088550,1047708,37090,0.500863,22174,3,0.999865,23151,11738.2148,44705779.8756,260318390,239.1423,49.084637
1454,100,AlmostEqualRatios,scaled,24027,42,240.2700,24028,2354746,1455634,861094,38018,0.618170,24011,17,0.999292,25028,12719.8153,52023104.5678,305631723,209.9647,60.580739
1455,100,AlmostEqualRatios,scaled,24767,42,247.6700,24768,2427266,1309179,1092986,25101,0.539364,24747,21,0.999152,26153,13282.0073,57188874.4391,328968756,251.2787,52.857679
1456,100,AlmostEqualRatios,scaled,23922,42,239.2200,23923,2344456,1292230,1017283,34943,0.551185,23880,43,0.998203,24948,12691.7619,51903319.1247,303625021,234.9621,54.016219
1457,100,AlmostEqualRatios,scaled,22738,42,227.3800,22739,2228423,1151646,1034914,41863,0.516799,22736,3,0.999868,23904,12144.2665,47610059.6774,276148477,239.7859,50.646291
